pokedex_number,name,classfication,generation,is_legendary,type1,type2,abilities,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,experience_growth,base_happiness,base_egg_steps,height_m,weight_kg,percentage_male
16,Pidgey,Tiny Bird Pokemon,1,0,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",251,40,45,40,35,35,56,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,1059860,70,3840,0.3,1.8,50
17,Pidgeotto,Bird Pokemon,1,0,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",349,63,60,55,50,50,71,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,120,1059860,70,3840,1.1,30,50
18,Pidgeot,Bird Pokemon,1,0,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",579,83,80,80,135,80,121,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,1059860,70,3840,1.5,39.5,50
19,Rattata,Mouse Pokemon,1,0,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",253,30,56,35,25,35,72,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,1000000,70,3840,,,50
20,Raticate,Mouse Pokemon,1,0,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",413,75,71,70,40,80,77,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,127,1000000,70,3840,,,50
21,Spearow,Tiny Bird Pokemon,1,0,normal,flying,"['Keen Eye', 'Sniper']",262,40,60,30,31,31,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,1000000,70,3840,0.3,2,50
22,Fearow,Beak Pokemon,1,0,normal,flying,"['Keen Eye', 'Sniper']",442,65,90,65,61,61,100,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,1000000,70,3840,1.2,38,50
23,Ekans,Snake Pokemon,1,0,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",288,35,60,44,40,54,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,255,1000000,70,5120,2,6.9,50
24,Arbok,Cobra Pokemon,1,0,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",448,60,95,69,65,79,80,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,1000000,70,5120,3.5,65,50
25,Pikachu,Mouse Pokemon,1,0,electric,,"['Static', 'Lightningrod']",320,35,55,40,50,50,90,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,1000000,70,2560,0.4,6,50
26,Raichu,Mouse Pokemon,1,0,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",485,60,85,50,95,85,110,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75,1000000,70,2560,,,50
27,Sandshrew,Mouse Pokemon,1,0,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",300,50,75,90,10,35,40,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,255,1000000,70,5120,,,50
28,Sandslash,Mouse Pokemon,1,0,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",450,75,100,120,25,65,65,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,1000000,70,5120,,,50
29,Nidoran♀,Poison Pin Pokemon,1,0,poison,,"['Poison Point', 'Rivalry', 'Hustle']",275,55,47,52,40,40,41,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,235,1059860,70,5120,0.4,7,0
30,Nidorina,Poison Pin Pokemon,1,0,poison,,"['Poison Point', 'Rivalry', 'Hustle']",365,70,62,67,55,55,56,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,120,1059860,70,5120,0.8,20,0
31,Nidoqueen,Drill Pokemon,1,0,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",505,90,92,87,75,85,76,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,45,1059860,70,5120,1.3,60,0
32,Nidoran♂,Poison Pin Pokemon,1,0,poison,,"['Poison Point', 'Rivalry', 'Hustle']",273,46,57,40,40,40,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,235,1059860,70,5120,0.5,9,100
33,Nidorino,Poison Pin Pokemon,1,0,poison,,"['Poison Point', 'Rivalry', 'Hustle']",365,61,72,57,55,55,65,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,120,1059860,70,5120,0.9,19.5,100
34,Nidoking,Drill Pokemon,1,0,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",505,81,102,77,85,75,85,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,45,1059860,70,5120,1.4,62,100
35,Clefairy,Fairy Pokemon,1,0,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",323,70,45,48,60,65,35,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,150,800000,140,2560,0.6,7.5,24.6
36,Clefable,Fairy Pokemon,1,0,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",483,95,70,73,95,90,60,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,800000,140,2560,1.3,40,24.6
37,Vulpix,Fox Pokemon,1,0,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",299,38,41,40,50,65,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,1000000,70,5120,,,24.6
38,Ninetales,Fox Pokemon,1,0,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",505,73,67,75,81,100,109,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,1000000,70,5120,,,24.6
39,Jigglypuff,Balloon Pokemon,1,0,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",270,115,45,20,45,25,20,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,170,800000,70,2560,0.5,5.5,24.6
40,Wigglytuff,Balloon Pokemon,1,0,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",435,140,70,45,85,50,45,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,50,800000,70,2560,1,12,24.6
41,Zubat,Bat Pokemon,1,0,poison,flying,"['Inner Focus', 'Infiltrator']",245,40,45,35,30,40,55,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,255,1000000,70,3840,0.8,7.5,50
42,Golbat,Bat Pokemon,1,0,poison,flying,"['Inner Focus', 'Infiltrator']",455,75,80,70,65,75,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,1000000,70,3840,1.6,55,50
43,Oddish,Weed Pokemon,1,0,grass,poison,"['Chlorophyll', 'Run Away']",320,45,50,55,75,65,30,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,255,1059860,70,5120,0.5,5.4,50
44,Gloom,Weed Pokemon,1,0,grass,poison,"['Chlorophyll', 'Stench']",395,60,65,70,85,75,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,120,1059860,70,5120,0.8,8.6,50
45,Vileplume,Flower Pokemon,1,0,grass,poison,"['Chlorophyll', 'Effect Spore']",490,75,80,85,110,90,50,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,1059860,70,5120,1.2,18.6,50
46,Paras,Mushroom Pokemon,1,0,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",285,35,70,55,45,55,25,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,190,1000000,70,5120,0.3,5.4,50
47,Parasect,Mushroom Pokemon,1,0,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",405,60,95,80,60,80,30,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,75,1000000,70,5120,1,29.5,50
48,Venonat,Insect Pokemon,1,0,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",305,60,55,50,40,55,45,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,190,1000000,70,5120,1,30,50
49,Venomoth,Poison Moth Pokemon,1,0,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",450,70,65,60,90,75,90,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,75,1000000,70,5120,1.5,12.5,50
50,Diglett,Mole Pokemon,1,0,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",265,10,55,30,35,45,90,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,255,1000000,70,5120,,,50
51,Dugtrio,Mole Pokemon,1,0,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",425,35,100,60,50,70,110,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,1000000,70,5120,,,50
52,Meowth,Scratch Cat Pokemon,1,0,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",290,40,35,35,50,40,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,1000000,70,5120,,,50
53,Persian,Classy Cat Pokemon,1,0,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",440,65,60,60,75,65,115,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,1000000,70,5120,,,50
54,Psyduck,Duck Pokemon,1,0,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",320,50,52,48,65,50,55,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,1000000,70,5120,0.8,19.6,50
55,Golduck,Duck Pokemon,1,0,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",500,80,82,78,95,80,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,1000000,70,5120,1.7,76.6,50
56,Mankey,Pig Monkey Pokemon,1,0,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",305,40,80,35,35,45,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,190,1000000,70,5120,0.5,28,50
57,Primeape,Pig Monkey Pokemon,1,0,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",455,65,105,60,60,70,95,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75,1000000,70,5120,1,32,50
58,Growlithe,Puppy Pokemon,1,0,fire,,"['Intimidate', 'Flash Fire', 'Justified']",350,55,70,45,70,50,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,1250000,70,5120,0.7,19,75.4
59,Arcanine,Legendary Pokemon,1,0,fire,,"['Intimidate', 'Flash Fire', 'Justified']",555,90,110,80,100,80,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,1250000,70,5120,1.9,155,75.4
60,Poliwag,Tadpole Pokemon,1,0,water,,"['Water Absorb', 'Damp', 'Swift Swim']",300,40,50,40,40,40,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,255,1059860,70,5120,0.6,12.4,50
61,Poliwhirl,Tadpole Pokemon,1,0,water,,"['Water Absorb', 'Damp', 'Swift Swim']",385,65,65,65,50,50,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,120,1059860,70,5120,1,20,50
62,Poliwrath,Tadpole Pokemon,1,0,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",510,90,95,95,70,90,70,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,45,1059860,70,5120,1.3,54,50
63,Abra,Psi Pokemon,1,0,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",310,25,20,15,105,55,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,200,1059860,70,5120,0.9,19.5,75.4
64,Kadabra,Psi Pokemon,1,0,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",400,40,35,30,120,70,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,1059860,70,5120,1.3,56.5,75.4
65,Alakazam,Psi Pokemon,1,0,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",600,55,50,65,175,105,150,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,1059860,70,5120,1.5,48,75.4
66,Machop,Superpower Pokemon,1,0,fighting,,"['Guts', 'No Guard', 'Steadfast']",305,70,80,50,35,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,180,1059860,70,5120,0.8,19.5,75.4
67,Machoke,Superpower Pokemon,1,0,fighting,,"['Guts', 'No Guard', 'Steadfast']",405,80,100,70,50,60,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,90,1059860,70,5120,1.5,70.5,75.4
68,Machamp,Superpower Pokemon,1,0,fighting,,"['Guts', 'No Guard', 'Steadfast']",505,90,130,80,65,85,55,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,1059860,70,5120,1.6,130,75.4
69,Bellsprout,Flower Pokemon,1,0,grass,poison,"['Chlorophyll', 'Gluttony']",300,50,75,35,70,30,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,255,1059860,70,5120,0.7,4,50
70,Weepinbell,Flycatcher Pokemon,1,0,grass,poison,"['Chlorophyll', 'Gluttony']",390,65,90,50,85,45,55,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,120,1059860,70,5120,1,6.4,50
71,Victreebel,Flycatcher Pokemon,1,0,grass,poison,"['Chlorophyll', 'Gluttony']",490,80,105,65,100,70,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,1059860,70,5120,1.7,15.5,50
72,Tentacool,Jellyfish Pokemon,1,0,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",335,40,40,35,50,100,70,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,190,1250000,70,5120,0.9,45.5,50
73,Tentacruel,Jellyfish Pokemon,1,0,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",515,80,70,65,80,120,100,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,60,1250000,70,5120,1.6,55,50
74,Geodude,Rock Pokemon,1,0,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",300,40,80,100,30,30,20,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,255,1059860,70,3840,,,50
75,Graveler,Rock Pokemon,1,0,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",390,55,95,115,45,45,35,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,1059860,70,3840,,,50
76,Golem,Megaton Pokemon,1,0,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",495,80,120,130,55,65,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,1059860,70,3840,,,50
77,Ponyta,Fire Horse Pokemon,1,0,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",410,50,85,55,65,65,90,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,1000000,70,5120,1,30,50
78,Rapidash,Fire Horse Pokemon,1,0,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",500,65,100,70,80,80,105,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,1000000,70,5120,1.7,95,50
79,Slowpoke,Dopey Pokemon,1,0,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",315,90,65,65,40,40,15,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,190,1000000,70,5120,1.2,36,50
80,Slowbro,Hermit Crab Pokemon,1,0,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",590,95,75,180,130,80,30,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,1000000,70,5120,1.6,78.5,50
81,Magnemite,Magnet Pokemon,1,0,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",325,25,35,70,95,55,45,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,190,1000000,70,5120,0.3,6,
82,Magneton,Magnet Pokemon,1,0,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",465,50,60,95,120,70,70,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,1000000,70,5120,1,60,
83,Farfetch'd,Wild Duck Pokemon,1,0,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",377,52,90,55,58,62,60,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,1000000,70,5120,0.8,15,50
84,Doduo,Twin Bird Pokemon,1,0,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",310,35,85,45,35,35,75,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,190,1000000,70,5120,1.4,39.2,50
85,Dodrio,Triple Bird Pokemon,1,0,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",470,60,110,70,60,60,110,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,1000000,70,5120,1.8,85.2,50
86,Seel,Sea Lion Pokemon,1,0,water,,"['Thick Fat', 'Hydration', 'Ice Body']",325,65,45,55,45,70,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,1000000,70,5120,1.1,90,50
87,Dewgong,Sea Lion Pokemon,1,0,water,ice,"['Thick Fat', 'Hydration', 'Ice Body']",475,90,70,80,70,95,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,75,1000000,70,5120,1.7,120,50
88,Grimer,Sludge Pokemon,1,0,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",325,80,80,50,40,50,25,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,190,1000000,70,5120,,,50
89,Muk,Sludge Pokemon,1,0,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",500,105,105,75,65,100,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,75,1000000,70,5120,,,50
90,Shellder,Bivalve Pokemon,1,0,water,,"['Shell Armor', 'Skill Link', 'Overcoat']",305,30,65,100,45,25,40,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,1250000,70,5120,0.3,4,50
91,Cloyster,Bivalve Pokemon,1,0,water,ice,"['Shell Armor', 'Skill Link', 'Overcoat']",525,50,95,180,85,45,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,60,1250000,70,5120,1.5,132.5,50
92,Gastly,Gas Pokemon,1,0,ghost,poison,['Levitate'],310,30,35,30,100,35,80,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,190,1059860,70,5120,1.3,0.1,50
93,Haunter,Gas Pokemon,1,0,ghost,poison,['Levitate'],405,45,50,45,115,55,95,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,90,1059860,70,5120,1.6,0.1,50
94,Gengar,Shadow Pokemon,1,0,ghost,poison,['Cursed Body'],600,60,65,80,170,95,130,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,45,1059860,70,5120,1.5,40.5,50
95,Onix,Rock Snake Pokemon,1,0,rock,ground,"['Rock Head', 'Sturdy', 'Weak Armor']",385,35,45,160,30,45,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,1000000,70,6400,8.8,210,50
96,Drowzee,Hypnosis Pokemon,1,0,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",328,60,48,45,43,90,42,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,1000000,70,5120,1,32.4,50
97,Hypno,Hypnosis Pokemon,1,0,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",483,85,73,70,73,115,67,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75,1000000,70,5120,1.6,75.6,50
98,Krabby,River Crab Pokemon,1,0,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",325,30,105,90,25,25,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,1000000,70,5120,0.4,6.5,50
99,Kingler,Pincer Pokemon,1,0,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",475,55,130,115,50,50,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,60,1000000,70,5120,1.3,60,50
100,Voltorb,Ball Pokemon,1,0,electric,,"['Soundproof', 'Static', 'Aftermath']",330,40,30,50,55,55,100,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,1000000,70,5120,0.5,10.4,
101,Electrode,Ball Pokemon,1,0,electric,,"['Soundproof', 'Static', 'Aftermath']",490,60,50,70,80,80,150,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,1000000,70,5120,1.2,66.6,
102,Exeggcute,Egg Pokemon,1,0,grass,psychic,"['Chlorophyll', 'Harvest']",325,60,40,80,60,45,40,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,90,1250000,70,5120,0.4,2.5,50
103,Exeggutor,Coconut Pokemon,1,0,grass,psychic,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",530,95,105,85,125,75,45,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,45,1250000,70,5120,,,50
